timestamp,file_id,filename,size_bytes,metric,value_sec
1763825660.2374854,10,bench_100kB_7.bin,102400,replication,0.005984306335449219
1763825662.3529408,10,bench_100kB_7.bin,102400,download,2.1094701290130615
1763825664.4876573,11,bench_100kB_8.bin,102400,replication,0.00897526741027832
1763825666.5395083,11,bench_100kB_8.bin,102400,download,2.049856662750244
1763825668.677681,12,bench_100kB_9.bin,102400,replication,0.008976221084594727
1763825670.7685807,12,bench_100kB_9.bin,102400,download,2.0869126319885254
1763825672.9002995,13,bench_100kB_10.bin,102400,replication,0.010970354080200195
1763825674.9642358,13,bench_100kB_10.bin,102400,download,2.060944080352783
1763825677.2245011,14,bench_100kB_11.bin,102400,replication,0.025930404663085938
1763825679.359715,14,bench_100kB_11.bin,102400,download,2.133220672607422
1763825681.4826043,15,bench_100kB_12.bin,102400,replication,0.010971546173095703
1763825683.5355647,15,bench_100kB_12.bin,102400,download,2.0489723682403564
1763825685.7312548,16,bench_100kB_13.bin,102400,replication,0.0039899349212646484
1763825687.8218842,16,bench_100kB_13.bin,102400,download,2.086636543273926
1763825689.9481473,17,bench_100kB_14.bin,102400,replication,0.00399017333984375
1763825692.0416234,17,bench_100kB_14.bin,102400,download,2.0924794673919678
1763825694.2048054,18,bench_100kB_15.bin,102400,replication,0.03226017951965332
1763825696.2829692,18,bench_100kB_15.bin,102400,download,2.076169013977051
1763825698.6359417,19,bench_100kB_16.bin,102400,replication,0.07779526710510254
1763825700.7257044,19,bench_100kB_16.bin,102400,download,2.0857796669006348
1763825702.9817047,20,bench_100kB_17.bin,102400,replication,0.003988981246948242
1763825705.0812433,20,bench_100kB_17.bin,102400,download,2.096545934677124
1763825707.2256467,21,bench_100kB_18.bin,102400,replication,0.015957117080688477
1763825709.3161998,21,bench_100kB_18.bin,102400,download,2.085561513900757
1763825711.5003977,22,bench_100kB_19.bin,102400,replication,0.0059854984283447266
1763825713.6159763,22,bench_100kB_19.bin,102400,download,2.1095941066741943
1763825715.831533,23,bench_100kB_20.bin,102400,replication,0.021970272064208984
1763825717.9385316,23,bench_100kB_20.bin,102400,download,2.102015495300293
1763825720.0857854,24,bench_100kB_21.bin,102400,replication,0.011967182159423828
1763825722.171675,24,bench_100kB_21.bin,102400,download,2.081932306289673
1763825724.3346534,25,bench_100kB_22.bin,102400,replication,0.003990650177001953
1763825726.437747,25,bench_100kB_22.bin,102400,download,2.0981059074401855
1763825728.6942253,26,bench_100kB_23.bin,102400,replication,0.1232151985168457
1763825730.8260174,26,bench_100kB_23.bin,102400,download,2.126803398132324
1763825732.954789,27,bench_100kB_24.bin,102400,replication,0.00598454475402832
1763825735.0720146,27,bench_100kB_24.bin,102400,download,2.112239122390747
1763825737.246304,28,bench_100kB_25.bin,102400,replication,0.03490614891052246
1763825739.3748631,28,bench_100kB_25.bin,102400,download,2.1245710849761963
1763825741.5183775,29,bench_100kB_26.bin,102400,replication,0.00997304916381836
1763825743.6309288,29,bench_100kB_26.bin,102400,download,2.109560012817383
1763825745.8265,30,bench_100kB_27.bin,102400,replication,0.0029914379119873047
1763825747.9053998,30,bench_100kB_27.bin,102400,download,2.0739057064056396
1763825750.0550447,31,bench_100kB_28.bin,102400,replication,0.009974002838134766
1763825752.1638288,31,bench_100kB_28.bin,102400,download,2.102799892425537
1763825754.3492422,32,bench_100kB_29.bin,102400,replication,0.005982637405395508
1763825756.4553335,32,bench_100kB_29.bin,102400,download,2.1050944328308105
1763825758.6110783,33,bench_100kB_30.bin,102400,replication,0.00797891616821289
1763825760.7115726,33,bench_100kB_30.bin,102400,download,2.0965123176574707
1763825762.8591955,34,bench_100kB_31.bin,102400,replication,0.010972976684570312
1763825764.967576,34,bench_100kB_31.bin,102400,download,2.1033942699432373
1763825767.1227095,35,bench_100kB_32.bin,102400,replication,0.011968135833740234
1763825769.2096412,35,bench_100kB_32.bin,102400,download,2.081944465637207
1763825771.3934782,36,bench_100kB_33.bin,102400,replication,0.002993345260620117
1763825773.4766996,36,bench_100kB_33.bin,102400,download,2.0812277793884277
1763825775.6206346,37,bench_100kB_34.bin,102400,replication,0.005984306335449219
1763825777.698518,37,bench_100kB_34.bin,102400,download,2.073892116546631
1763825779.8611104,38,bench_100kB_35.bin,102400,replication,0.0418853759765625
