file_label,file_size_bytes,strategy,ingest_time_s,download_time_s
100KB,100000,min_copysets,0.03360389999999924,0.04381559999999851
100KB,100000,min_copysets,0.03539320000000146,0.03902000000000072
100KB,100000,min_copysets,0.025418200000000724,0.04307760000000016
100KB,100000,min_copysets,0.03432300000000055,0.04298719999999889
100KB,100000,min_copysets,0.025675099999997286,0.04377110000000073
100KB,100000,min_copysets,0.02723569999999853,0.0438414999999992
100KB,100000,min_copysets,0.03264040000000179,0.05280180000000101
100KB,100000,min_copysets,0.13721789999999956,0.045456299999997896
100KB,100000,min_copysets,0.16446769999999944,0.04282489999999939
100KB,100000,min_copysets,0.02962570000000042,0.04231439999999864
100KB,100000,min_copysets,0.027692100000002995,0.041051399999997074
100KB,100000,min_copysets,0.026426999999998202,0.04496119999999948
100KB,100000,min_copysets,0.03490599999999944,0.03925650000000047
100KB,100000,min_copysets,0.026682900000000842,0.038760500000002196
100KB,100000,min_copysets,0.02666280000000043,0.0465625999999979
100KB,100000,min_copysets,0.03233009999999936,0.04206359999999876
100KB,100000,min_copysets,0.030383400000001615,0.038529099999998095
100KB,100000,min_copysets,0.027217900000000128,0.04318190000000044
100KB,100000,min_copysets,0.03270970000000162,0.043329700000001026
100KB,100000,min_copysets,0.02914559999999966,0.03968330000000009
100KB,100000,min_copysets,0.02700929999999957,0.04105909999999824
100KB,100000,min_copysets,0.03404570000000007,0.041073799999999494
100KB,100000,min_copysets,0.025993299999999664,0.03935019999999767
100KB,100000,min_copysets,0.02724410000000077,0.0388943000000026
100KB,100000,min_copysets,0.03223019999999721,0.04343210000000042
100KB,100000,min_copysets,0.027303400000000977,0.039925700000001285
100KB,100000,min_copysets,0.029830000000000467,0.04299620000000104
100KB,100000,min_copysets,0.03342519999999993,0.039421900000000676
100KB,100000,min_copysets,0.0279469999999975,0.03993940000000151
100KB,100000,min_copysets,0.02635280000000151,0.0442986999999988
100KB,100000,min_copysets,0.03752629999999968,0.039208999999999605
100KB,100000,min_copysets,0.026710599999997697,0.04099199999999925
100KB,100000,min_copysets,0.028107499999997287,0.04551520000000053
100KB,100000,min_copysets,0.04203370000000106,0.040105199999999286
100KB,100000,min_copysets,0.026980300000001733,0.040355399999999264
100KB,100000,min_copysets,0.029537399999998826,0.04588449999999966
100KB,100000,min_copysets,0.03424790000000044,0.04457500000000181
100KB,100000,min_copysets,0.027896700000002994,0.06324049999999914
100KB,100000,min_copysets,0.02895249999999905,0.05303880000000305
100KB,100000,min_copysets,0.02589269999999999,0.07418799999999948
100KB,100000,min_copysets,0.027268799999998095,0.04101209999999966
100KB,100000,min_copysets,0.030209899999999124,0.04945249999999746
100KB,100000,min_copysets,0.028840500000001157,0.04321859999999944
100KB,100000,min_copysets,0.025143699999997438,0.041082499999998134
100KB,100000,min_copysets,0.02566269999999804,0.0484519999999975
100KB,100000,min_copysets,0.03536150000000049,0.04164180000000073
100KB,100000,min_copysets,0.08875469999999908,0.042780299999996885
100KB,100000,min_copysets,0.03341359999999938,0.04469190000000012
100KB,100000,min_copysets,0.025428099999999176,0.03987870000000271
100KB,100000,min_copysets,0.027414500000002562,0.05407580000000323
100KB,100000,min_copysets,0.06011460000000213,0.044333400000002854
100KB,100000,min_copysets,0.025972499999998178,0.039405599999998486
100KB,100000,min_copysets,0.025966100000001546,0.04734879999999819
100KB,100000,min_copysets,0.029081099999999083,0.040649800000000624
100KB,100000,min_copysets,0.025065500000000185,0.03922460000000072
100KB,100000,min_copysets,0.026005100000002557,0.060578899999999436
100KB,100000,min_copysets,0.03821710000000067,0.05202880000000221
100KB,100000,min_copysets,0.03320270000000036,0.04104799999999997
100KB,100000,min_copysets,0.026620700000002273,0.04939209999999861
100KB,100000,min_copysets,0.09752059999999929,0.07637380000000249
100KB,100000,min_copysets,0.1406788999999975,0.039866499999998695
100KB,100000,buddy,0.03198779999999957,0.04003309999999871
100KB,100000,buddy,0.027034000000000447,0.04259360000000001
100KB,100000,buddy,0.025662000000000518,0.041419299999997605
100KB,100000,buddy,0.0604167000000011,0.052386699999999564
100KB,100000,buddy,0.028352300000001662,0.039598000000001576
100KB,100000,buddy,0.03183450000000221,0.04869379999999879
100KB,100000,buddy,0.028280800000000994,0.03913869999999875
100KB,100000,buddy,0.027149800000000113,0.03899720000000073
100KB,100000,buddy,0.16451189999999727,0.04133200000000059
100KB,100000,buddy,0.02541700000000091,0.04376129999999989
100KB,100000,buddy,0.19475080000000133,0.04070019999999985
100KB,100000,buddy,0.02430310000000091,0.038770499999998265
100KB,100000,buddy,0.027045799999999787,0.05531129999999962
100KB,100000,buddy,0.029634999999998968,0.04116379999999964
100KB,100000,buddy,0.04210459999999827,0.04170939999999845
100KB,100000,buddy,0.028654600000002972,0.04132410000000064
100KB,100000,buddy,0.02716490000000249,0.04389769999999871
100KB,100000,buddy,0.03352770000000049,0.03874669999999725
100KB,100000,buddy,0.02691610000000111,0.048848499999998296
100KB,100000,buddy,0.04207409999999712,0.050393599999999594
100KB,100000,buddy,0.028939099999998774,0.03901899999999969
